G_name,RoomID,RoomName,BlogName,HotPoint
英雄联盟,7656268,奇亚娜：K头女皇的血条消失术,丨丨依山丶,20000.0
英雄联盟,6441195,❤又是困困的一天呐❤,夏天酱OwO,20000.0
英雄联盟,717369,"三万场冰鸟,艺术般的操作",儒雅随和张心灵,19000.0
英雄联盟,4755229,一区组排  带你下饭,小薇拉,19000.0
英雄联盟,6554261,温柔的ju播,LCsjC,19000.0
英雄联盟,8532377,柠檬味柑橘1的直播间,柠檬味柑橘1,19000.0
英雄联盟,7149782,让我看看是哪个比在送,葵妹妹i,19000.0
英雄联盟,4020510,璐璐 （风女 娜美 奶妈）,花涩迷人,19000.0
英雄联盟,7502476,AD天使在线蹦迪,倒数第二只皮卡丘,18000.0
英雄联盟,636903,新的一天新的开始！~,芜湖灬王导,18000.0
英雄联盟,522424,4K20M超高清直播【电视投影专用】,超高清赛事专用直播间,18000.0
英雄联盟,7887975,D10黑色黄金灵活~,ggg233,18000.0
英雄联盟,3011797,山东小姐姐:  网一网二在线,晓彤彤彤彤彤彤丶,18000.0
英雄联盟,7561230,你的荔枝ovo 春天来啦,你的荔枝ovo,18000.0
英雄联盟,3832674,峡谷传说：逆风不败+皇子凶猛教学,漆杠医,18000.0
英雄联盟,8325724,小三的保护神,金松哥哥,18000.0
英雄联盟,7372149,万场细节鳄鱼人柱力,是梓钦阿,17000.0
英雄联盟,7761541,沉迷乱斗中 7761541,茶怼怼i,17000.0
英雄联盟,5624307,打野里面请，迷之白金野区,飞龙帆,17000.0
英雄联盟,977518,【艾欧尼亚 昂扬不灭】敬这无言以对的时刻,洛爷陛下,17000.0
英雄联盟,473676,幕刃上单猴子盖伦孙悟空齐天大圣,巫妖王丶稳健猴,17000.0
英雄联盟,2816804,Q不狠站不稳 美服战神花心海,花花世界花心海,17000.0
英雄联盟,5768184,不忘初心，一路找寻~,半口仙气小阿姨丶,17000.0
英雄联盟,5924950,峡谷800冲900,魔法部长小罗,17000.0
英雄联盟,8372874,节目下棋~~~,百鬼吖,17000.0
